1 72
1 72
1 72
1 72
1 72
2 108
2 108
2 108
2 108
2 108
3 61
3 61
3 61
3 61
3 61
4 103
4 163
4 160
4 160
4 103
5 256
5 226
5 154
5 197
5 157
6 350
6 427
6 385
6 325
6 256
7 458
7 473
7 367
7 433
7 448
8 469
8 603
8 625
8 472
8 330
9 845
9 625
9 842
9 944
9 818
10 1112
10 1376
10 720
10 840
10 1163
11 1174
11 1591
11 1403
11 1397
11 1229
12 1179
12 1457
12 2116
12 2082
12 1392
13 1745
13 1423
13 2253
13 2931
13 2224
14 1282
14 2354
14 1684
14 2168
14 2233
15 2336
15 2769
15 2256
15 3108
15 2880
16 3935
16 3217
16 4540
16 5095
16 3422
17 3054
17 3320
17 3988
17 4733
17 3449
18 6009
18 5511
18 3375
18 4831
18 3999
19 4435
19 5565
19 7104
19 4506
19 4814
20 8641
20 8537
20 5692
20 7323
20 6235
21 8649
21 7349
21 6805
21 7644
21 8031
22 8614
22 7808
22 7120
22 8286
22 11855
23 7210
23 5565
23 9606
23 13573
23 9454
24 13377
24 11374
24 6432
24 8398
24 15253
25 12544
25 8618
25 13138
25 14207
25 13832
26 7701
26 16595
26 22706
26 16376
26 13300
27 15569
27 9299
27 14134
27 14096
27 17359
28 27775
28 21769
28 12805
28 24170
28 18656
29 19363
29 16927
29 24099
29 16908
29 24406
30 28064
30 15604
30 21133
30 12879
30 15641
31 27358
31 34022
31 47210
31 102754
31 19519
32 35652
32 16146
32 88055
32 223161
32 24327
33 192773
33 234153
33 609475
33 205101
33 151404
34 642925
34 121891
34 981838
34 569419
34 398993
35 923520
35 774315
35 1054968
35 1371854
35 871705
36 730647
36 1167004
36 1033036
36 834955
36 1641424
37 1004707
37 982023
37 704876
37 991796
37 1947283
38 1273080
38 1629504
38 1194387
38 1268032
38 1701125
39 1792342
39 2474801
39 2104080
39 1515916
39 1427730
40 2270198
40 1367192
40 1418045
40 2721358
40 1002678
41 2019922
41 2118650
41 1489728
41 2070574
41 2471679
42 2638251
42 2292552
42 2938948
42 1574088
42 2905631
43 2079387
43 2252993
43 1760077
43 2672097
43 2168919
44 3241662
44 1903270
44 1694906
44 3237058
44 2835942
45 3082646
45 3057078
45 2013524
45 3054259
45 2569652
46 2885109
46 1911860
46 2785987
46 1875918
46 3675760
47 664518
47 745827
47 692739
47 3145846
47 725316
48 825995
48 1433006
48 843200
48 1007926
48 734418
49 895887
49 848489
49 2802684
49 832942
49 2875631
50 1771202
50 1434257
50 1439242
50 837142
50 1529557
